Method,Time(%),TotalTime(ns),Count,Average(ns),Minimum(ns),Maximum(ns),Operation
1 100 run 1,96.2,"527,492",15,"35,166.1","34,976","36,768",Kernel Time
1 100 run 2,96.1,"527,367",15,"35,157.8","34,976","36,640",Kernel Time
1 100 run 3,96.2,"530,410",15,"35,360.7","35,168","36,769",Kernel Time
1 100 run 4,96.2,"528,262",15,"35,217.5","35,009","36,800",Kernel Time
1 100 run 5,96.2,"527,622",15,"35,174.8","35,008","36,768",Kernel Time
1 1000 run 1,96.7,"1,001,999",15,"66,799.9","66,401","68,609",Kernel Time
1 1000 run 2,96.7,"1,001,453",15,"66,763.5","66,241","68,032",Kernel Time
1 1000 run 3,96.7,"1,002,096",15,"66,806.4","66,338","69,697",Kernel Time
1 1000 run 4,96.7,"1,002,189",15,"66,812.6","66,272","69,025",Kernel Time
1 1000 run 5,96.7,"1,000,969",15,"66,731.3","66,209","68,896",Kernel Time
1 10000 run 1,99.6,"8,329,078",15,"555,271.9","552,678","560,326",Kernel Time
1 10000 run 2,99.6,"8,347,327",15,"556,488.5","551,750","561,702",Kernel Time
1 10000 run 3,99.6,"8,344,479",15,"556,298.6","552,135","560,326",Kernel Time
1 10000 run 4,99.6,"8,346,433",15,"556,428.9","552,038","563,047",Kernel Time
1 10000 run 5,99.6,"8,349,574",15,"556,638.3","553,506","563,074",Kernel Time
1 100000 run 1,99.9,"85,709,455",15,"5,713,963.7","5,352,932","7,748,822",Kernel Time
1 100000 run 2,99.9,"87,230,959",15,"5,815,397.3","5,352,904","7,964,380",Kernel Time
1 100000 run 3,99.9,"90,085,013",15,"6,005,667.5","5,351,625","7,870,524",Kernel Time
1 100000 run 4,99.9,"88,905,718",15,"5,927,047.9","5,353,578","7,768,029",Kernel Time
1 100000 run 5,99.9,"80,847,466",15,"5,389,831.1","5,345,511","5,890,503",Kernel Time
1 1000000 run 1,99.9,"877,369,159",15,"58,491,277.3","53,288,722","60,224,127",Kernel Time
1 1000000 run 2,99.9,"889,328,877",15,"59,288,591.8","53,306,472","60,474,392",Kernel Time
1 1000000 run 3,99.9,"885,450,891",15,"59,030,059.4","53,286,482","60,196,418",Kernel Time
1 1000000 run 4,99.9,"876,914,998",15,"58,460,999.9","53,355,097","59,752,774",Kernel Time
1 1000000 run 5,99.9,"881,567,193",15,"58,771,146.2","58,235,982","60,462,608",Kernel Time
1 500 run 1,95.4,"717,736",15,"47,849.1","47,521","48,608",Kernel Time
1 500 run 2,95.3,"718,732",15,"47,915.5","47,745","48,641",Kernel Time
1 500 run 3,95.3,"717,355",15,"47,823.7","47,425","48,321",Kernel Time
1 500 run 4,95.3,"717,772",15,"47,851.5","47,552","48,448",Kernel Time
1 500 run 5,95.4,"717,543",15,"47,836.2","47,520","48,577",Kernel Time
1 5000 run 1,99.2,"4,312,403",15,"287,493.5","285,443","292,547",Kernel Time
1 5000 run 2,99.2,"4,319,316",15,"287,954.4","286,083","292,612",Kernel Time
1 5000 run 3,99.2,"4,316,025",15,"287,735.0","285,796","291,780",Kernel Time
1 5000 run 4,99.2,"4,313,593",15,"287,572.9","285,284","291,204",Kernel Time
1 5000 run 5,99.2,"4,305,654",15,"287,043.6","284,546","290,338",Kernel Time
1 50000 run 1,99.9,"44,936,564",15,"2,995,770.9","2,688,180","4,112,479",Kernel Time
1 50000 run 2,99.9,"46,324,763",15,"3,088,317.5","2,688,054","4,010,464",Kernel Time
1 50000 run 3,99.9,"46,267,206",15,"3,084,480.4","2,687,607","3,999,329",Kernel Time
1 50000 run 4,99.9,"47,690,900",15,"3,179,393.3","2,687,991","4,152,515",Kernel Time
1 50000 run 5,99.9,"46,615,087",15,"3,107,672.5","2,687,620","3,996,967",Kernel Time
1 500000 run 1,99.9,"455,367,386",15,"30,357,825.7","26,653,033","31,734,280",Kernel Time
1 500000 run 2,99.9,"460,467,043",15,"30,697,802.9","26,652,950","32,589,790",Kernel Time
1 500000 run 3,99.9,"459,047,743",15,"30,603,182.9","26,688,219","32,556,517",Kernel Time
1 500000 run 4,99.9,"457,759,384",15,"30,517,292.3","26,652,669","32,083,749",Kernel Time
1 500000 run 5,99.9,"399,977,430",15,"26,665,162.0","26,618,132","26,946,933",Kernel Time
128 100 run 1,96.6,"603,753",15,"40,250.2","39,489","44,000",Kernel Time
128 100 run 2,96.6,"596,298",15,"39,753.2","39,456","41,761",Kernel Time
128 100 run 3,96.6,"597,708",15,"39,847.2","39,521","41,953",Kernel Time
128 100 run 4,96.6,"596,618",15,"39,774.5","39,489","41,825",Kernel Time
128 100 run 5,96.5,"597,188",15,"39,812.5","39,520","42,048",Kernel Time
128 1000 run 1,94.6,"597,799",15,"39,853.3","39,616","41,889",Kernel Time
128 1000 run 2,94.6,"597,706",15,"39,847.1","39,552","41,985",Kernel Time
128 1000 run 3,94.7,"600,880",15,"40,058.7","39,584","42,145",Kernel Time
128 1000 run 4,94.6,"597,514",15,"39,834.3","39,584","42,049",Kernel Time
128 1000 run 5,94.6,"597,864",15,"39,857.6","39,585","42,560",Kernel Time
128 10000 run 1,94.7,"612,874",15,"40,858.3","40,000","42,304",Kernel Time
128 10000 run 2,94.5,"607,112",15,"40,474.1","39,904","42,016",Kernel Time
128 10000 run 3,94.4,"605,354",15,"40,356.9","39,841","41,984",Kernel Time
128 10000 run 4,94.7,"607,080",15,"40,472.0","40,065","42,145",Kernel Time
128 10000 run 5,94.4,"606,339",15,"40,422.6","39,872","41,888",Kernel Time
128 100000 run 1,97.4,"2,665,043",15,"177,669.5","176,513","179,041",Kernel Time
128 100000 run 2,97.3,"2,661,944",15,"177,462.9","176,706","179,585",Kernel Time
128 100000 run 3,97.4,"2,707,604",15,"180,506.9","176,481","224,673",Kernel Time
128 100000 run 4,97.4,"2,660,760",15,"177,384.0","176,322","178,786",Kernel Time
128 100000 run 5,97.3,"2,679,654",15,"178,643.6","177,408","180,064",Kernel Time
128 1000000 run 1,97.6,"25,289,921",15,"1,685,994.7","1,680,875","1,699,435",Kernel Time
128 1000000 run 2,97.5,"25,279,312",15,"1,685,287.5","1,679,628","1,698,827",Kernel Time
128 1000000 run 3,97.5,"25,276,400",15,"1,685,093.3","1,679,692","1,699,116",Kernel Time
128 1000000 run 4,97.5,"25,272,180",15,"1,684,812.0","1,679,276","1,698,956",Kernel Time
128 1000000 run 5,97.5,"25,275,346",15,"1,685,023.1","1,679,779","1,698,499",Kernel Time
128 500 run 1,94.5,"597,479",15,"39,831.9","39,584","41,888",Kernel Time
128 500 run 2,94.4,"597,160",15,"39,810.7","39,489","41,888",Kernel Time
128 500 run 3,94.5,"597,160",15,"39,810.7","39,521","41,857",Kernel Time
128 500 run 4,94.4,"597,130",15,"39,808.7","39,521","41,889",Kernel Time
128 500 run 5,94.5,"598,054",15,"39,870.3","39,585","41,889",Kernel Time
128 5000 run 1,94.6,"597,507",15,"39,833.8","39,616","41,824",Kernel Time
128 5000 run 2,94.5,"602,567",15,"40,171.1","39,584","41,889",Kernel Time
128 5000 run 3,94.6,"597,772",15,"39,851.5","39,617","41,761",Kernel Time
128 5000 run 4,94.5,"598,057",15,"39,870.5","39,617","41,857",Kernel Time
128 5000 run 5,94.7,"604,517",15,"40,301.1","39,745","41,952",Kernel Time
128 50000 run 1,96.8,"1,372,939",15,"91,529.3","90,560","92,481",Kernel Time
128 50000 run 2,96.8,"1,368,717",15,"91,247.8","90,497","91,937",Kernel Time
128 50000 run 3,96.8,"1,367,851",15,"91,190.1","90,400","91,873",Kernel Time
128 50000 run 4,96.8,"1,365,896",15,"91,059.7","89,697","91,808",Kernel Time
128 50000 run 5,96.8,"1,366,817",15,"91,121.1","90,528","91,936",Kernel Time
128 500000 run 1,97.1,"12,768,916",15,"851,261.1","848,166","862,693",Kernel Time
128 500000 run 2,97.4,"12,751,993",15,"850,132.9","847,302","856,967",Kernel Time
128 500000 run 3,97.4,"12,750,907",15,"850,060.5","847,206","856,390",Kernel Time
128 500000 run 4,97.4,"12,752,637",15,"850,175.8","847,238","856,902",Kernel Time
128 500000 run 5,97.4,"12,747,088",15,"849,805.9","846,721","857,025",Kernel Time
16 100 run 1,96.1,"523,208",15,"34,880.5","34,657","37,024",Kernel Time
16 100 run 2,95.8,"523,976",15,"34,931.7","34,720","37,152",Kernel Time
16 100 run 3,96.1,"523,910",15,"34,927.3","34,720","37,088",Kernel Time
16 100 run 4,96.1,"524,039",15,"34,935.9","34,720","37,057",Kernel Time
16 100 run 5,96.1,"524,227",15,"34,948.5","34,720","37,088",Kernel Time
