block_size,num_particles,run_time(ns)
1,100,95023037
2,100,89092950
4,100,85519393
8,100,90347015
16,100,64072153
32,100,88830651
64,100,66907491
128,100,64697686
256,100,82133401
512,100,59104050
1,500,63184950
2,500,73207379
4,500,81162288
8,500,76256286
16,500,63154441
32,500,63908123
64,500,64329613
128,500,68582855
256,500,71608773
512,500,86477575
1,1000,72770057
2,1000,67805743
4,1000,89965974
8,1000,66995460
16,1000,66841542
32,1000,83165436
64,1000,106549458
128,1000,94894517
256,1000,91117226
512,1000,74047319
1,5000,95582318
2,5000,99172508
4,5000,89992194
8,5000,92138939
16,5000,90813995
32,5000,119998635
64,5000,119933343
128,5000,116977646
256,5000,91326477
512,5000,93029362
1,10000,164372644
2,10000,149146383
4,10000,129870001
8,10000,146502285
16,10000,127242443
32,10000,130834574
64,10000,150296197
128,10000,150957079
256,10000,155112019
512,10000,152713803
1,50000,458513068
2,50000,410221899
4,50000,422906833
8,50000,410907120
16,50000,414671970
32,50000,421160977
64,50000,415883814
128,50000,420714806
256,50000,415127502
512,50000,416489795
1,100000,849119044
2,100000,802270946
4,100000,784038836
8,100000,784648368
16,100000,777353197
32,100000,762125807
64,100000,765053434
128,100000,745656052
256,100000,770464998
512,100000,766982078
1,500000,3886693252
2,500000,3730699223
4,500000,3714589205
8,500000,3554264018
16,500000,3550214972
32,500000,3611986772
64,500000,3529184075
128,500000,3528295409
256,500000,3505964024
512,500000,3496243153
1,1000000,7787869893
2,1000000,7436676660
4,1000000,7145170360
8,1000000,7070583093
16,1000000,6943434733
32,1000000,6971152522
64,1000000,6935269159
128,1000000,6940601655
256,1000000,6958879388
512,1000000,6942514958
1,100,79792633
2,100,84163552
4,100,87730322
8,100,63305428
16,100,86142109
32,100,64247010
64,100,79336981
128,100,66162275
256,100,64072041
512,100,66251976
1,500,68094221
2,500,59564299
4,500,64261740
8,500,66514837
16,500,75386710
32,500,85307047
64,500,66792797
128,500,59697509
256,500,61400773
512,500,62708688
1,1000,73098854
2,1000,69355864
4,1000,96532886
8,1000,65708925
16,1000,65831625
32,1000,73781436
64,1000,83332312
128,1000,69725926
256,1000,93157067
512,1000,66355346
1,5000,98309902
2,5000,95701104
4,5000,117022191
8,5000,111070215
16,5000,91509802
32,5000,90990121
64,5000,100442696
128,5000,91058572
256,5000,91895305
512,5000,95271634
