block_size,num_particles,run_time(ns)
1,100,84270664.0
1,500,74310252.8
1,1000,76210118.4
1,5000,100569574.2
1,10000,145896055.8
1,50000,450106918.2
1,100000,849705652.0
1,500000,3890283504.4
1,1000000,7727829109.0
1,10000000,79509385137.5
2,100,86238314.4
2,500,65781409.4
2,1000,67590263.6
2,5000,104041898.8
2,10000,142174387.8
2,50000,417913357.6
2,100000,807079949.0
2,500000,3701514337.8
2,1000000,7450605131.2
2,10000000,75995905043.0
4,100,76881420.6
4,500,68935828.6
4,1000,81948523.2
4,5000,98059181.8
4,10000,129813479.2
4,50000,412059939.0
4,100000,776522667.0
4,500000,3607193504.6
4,1000000,7129745866.8
4,10000000,74572503538.5
8,100,71288049.6
8,500,72825119.2
8,1000,71637697.6
8,5000,99137730.4
8,10000,136582857.0
8,50000,415575343.4
8,100000,767155467.2
8,500000,3551105640.2
8,1000000,7041507854.0
8,10000000,73494186474.5
16,100,73293074.4
16,500,70940586.2
16,1000,66938706.0
16,5000,91488092.0
16,10000,133089277.2
16,50000,414347960.4
16,100000,772125053.2
16,500000,3519261360.0
16,1000000,6984558278.4
16,10000000,72818168987.0
32,100,72459264.8
32,500,72060305.8
32,1000,76926226.4
32,5000,104064329.8
32,10000,129504300.6
32,50000,404438044.8
32,100000,760165429.6
32,500000,3519697749.2
32,1000000,6945434155.6
32,10000000,72564418314.0
64,100,81187498.8
64,500,64156544.0
64,1000,82179992.6
64,5000,102265746.6
64,10000,142273454.0
64,50000,404404466.8
64,100000,765883416.0
64,500000,3510144609.4
64,1000000,6950034000.4
64,10000000,72625831252.0
128,100,66704927.6
128,500,68248041.2
128,1000,72425383.0
128,5000,107977129.4
128,10000,138777044.4
128,50000,414251040.2
128,100000,759537675.6
128,500000,3586830625.2
128,1000000,6928570895.0
128,10000000,73518620199.0
256,100,66399956.8
256,500,66547280.8
256,1000,82762787.6
256,5000,91793277.6
256,10000,146961436.0
256,50000,403991817.8
256,100000,770710322.0
256,500000,3501695191.2
256,1000000,6938849775.6
256,10000000,72341906966.5
512,100,66887271.6
512,500,69212523.0
512,1000,69530924.6
512,5000,96802534.4
512,10000,144291993.4
512,50000,404363216.4
512,100000,758710874.0
512,500000,3510312120.4
512,1000000,6952403612.0
512,10000000,72335958694.0
