Method,Operation,Time(%),TotalTime(ns),Count,Average(ns),Minimum(ns),Maximum(ns)
1 100,Kernel Time,96.17999999999999,528230.6,15.0,35215.38,35027.4,36749.0
1 1000,Kernel Time,96.7,1001741.2,15.0,66782.74,66292.2,68851.8
1 10000,Kernel Time,99.6,8343378.2,15.0,556225.24,552421.4,561695.0
1 100000,Kernel Time,99.9,86555722.2,15.0,5770381.5,5351310.0,7448451.6
1 1000000,Kernel Time,99.9,882126223.6,15.0,58808414.92,54294551.0,60222063.8
1 500,Kernel Time,95.34,717827.6,15.0,47855.2,47552.6,48519.0
1 5000,Kernel Time,99.2,4313398.2,15.0,287559.88,285430.4,291696.2
1 50000,Kernel Time,99.9,46366904.0,15.0,3091126.92,2687890.4,4054350.8
1 500000,Kernel Time,99.9,446523797.2,15.0,29768253.160000004,26653000.6,31182253.8
128 100,Kernel Time,96.58,598313.0,15.0,39887.52,39495.0,42317.4
128 1000,Kernel Time,94.61999999999999,598352.6,15.0,39890.2,39584.2,42125.6
128 10000,Kernel Time,94.54,607751.8,15.0,40516.78,39936.4,42067.4
128 100000,Kernel Time,97.36,2675001.0,15.0,178333.38,176686.0,188429.8
128 1000000,Kernel Time,97.52000000000001,25278631.8,15.0,1685242.1199999999,1679850.0,1698966.6
128 500,Kernel Time,94.46000000000001,597396.6,15.0,39826.46,39540.0,41882.2
128 5000,Kernel Time,94.58,600084.0,15.0,40005.6,39635.8,41856.6
128 50000,Kernel Time,96.8,1368444.0,15.0,91229.6,90336.4,92007.0
128 500000,Kernel Time,97.34,12754308.2,15.0,850287.24,847326.6,857995.4
16 100,Kernel Time,96.03999999999999,523872.0,15.0,34924.78,34707.4,37081.8
16 1000,Kernel Time,93.9,524364.4,15.0,34957.62,34624.4,36788.0
16 10000,Kernel Time,95.74,809133.6,15.0,53942.259999999995,53325.2,55168.4
16 100000,Kernel Time,98.67999999999999,5381115.0,15.0,358741.02,356661.2,362242.4
16 1000000,Kernel Time,98.78,52539354.2,15.0,3502623.62,3361619.4,4592276.6
16 500,Kernel Time,93.72,523354.6,15.0,34890.32,34528.8,36557.0
16 5000,Kernel Time,94.5,598764.6,15.0,39917.62,39597.0,41389.0
16 50000,Kernel Time,98.52000000000001,2955707.4,15.0,197047.16,192327.6,200200.2
16 500000,Kernel Time,98.7,25534405.0,15.0,1702293.6600000001,1697104.0,1710870.6
2 100,Kernel Time,96.08,521222.8,15.0,34748.2,34572.8,36346.4
2 1000,Kernel Time,95.42,718492.6,15.0,47899.479999999996,47603.4,48634.4
2 10000,Kernel Time,99.2,4328069.2,15.0,288537.94000000006,285385.4,294153.2
2 100000,Kernel Time,99.8,43077094.2,15.0,2871806.2800000003,2689866.6,3661892.8
2 1000000,Kernel Time,99.9,459756951.0,15.0,30650463.4,26693170.6,31906013.2
2 500,Kernel Time,94.38000000000001,594535.0,15.0,39635.68,39456.2,40608.6
2 5000,Kernel Time,98.46000000000001,2228619.8,15.0,148574.63999999998,147272.0,153480.2
2 50000,Kernel Time,99.8,20479639.0,15.0,1365309.26,1358153.4,1372669.0
2 500000,Kernel Time,99.8,219737691.2,15.0,14649179.420000002,13328504.0,17078892.6
256 100,Kernel Time,96.5,596609.6,15.0,39773.979999999996,39392.2,42285.4
256 1000,Kernel Time,95.84,803396.8,15.0,53559.780000000006,53005.6,55981.4
256 10000,Kernel Time,95.78,811854.8,15.0,54123.64,53171.8,55680.4
256 100000,Kernel Time,97.42,2699712.4,15.0,179980.82,179150.2,181319.6
256 1000000,Kernel Time,97.55999999999999,25621444.2,15.0,1708096.28,1702627.8,1720682.0
256 500,Kernel Time,95.8,802622.0,15.0,53508.119999999995,52909.4,55251.8
256 5000,Kernel Time,95.88,806178.2,15.0,53745.2,53306.2,55437.6
256 50000,Kernel Time,97.42,1675691.0,15.0,111712.73999999999,110925.6,113133.6
256 500000,Kernel Time,97.36,13067466.8,15.0,871164.4400000001,867934.6,878219.4
32 100,Kernel Time,96.16,525044.0,15.0,35002.92,34784.0,37286.6
32 1000,Kernel Time,93.9,525517.0,15.0,35034.46,34662.8,36902.8
32 10000,Kernel Time,94.58,608990.8,15.0,40599.36,39974.6,42733.2
32 100000,Kernel Time,97.67999999999999,2963845.2,15.0,197589.68,195693.8,200001.0
32 1000000,Kernel Time,97.58,25554189.6,15.0,1703612.6600000001,1698115.2,1715843.6
32 500,Kernel Time,93.66,525010.2,15.0,35000.68,34598.4,37107.8
32 5000,Kernel Time,93.96000000000001,540037.8,15.0,36002.5,35417.6,38202.2
32 50000,Kernel Time,97.55999999999999,1805940.6,15.0,120396.04,116103.2,123290.6
32 500000,Kernel Time,97.44,13074540.2,15.0,871636.0199999999,868075.4,878168.2
4 100,Kernel Time,96.1,521030.8,15.0,34735.38,34553.6,36288.6
4 1000,Kernel Time,94.6,594739.6,15.0,39649.32,39482.0,40672.4
4 10000,Kernel Time,98.42,2243042.2,15.0,149536.13999999998,147450.8,154106.8
4 100000,Kernel Time,99.61999999999999,20480814.4,15.0,1365387.6199999999,1361224.4,1371170.6
4 1000000,Kernel Time,99.7,223548467.8,15.0,14903231.180000002,13331276.8,16896353.4
4 500,Kernel Time,93.8,528429.0,15.0,35228.58,35027.6,36806.6
4 5000,Kernel Time,97.14,1167762.8,15.0,77850.84,77524.0,78554.4
4 50000,Kernel Time,99.6,10439093.0,15.0,695939.54,690111.0,701080.4
4 500000,Kernel Time,99.7,105758040.2,15.0,7050536.0200000005,6681753.6,8857173.2
512 100,Kernel Time,96.6,596973.8,15.0,39798.259999999995,39475.8,41907.6
512 1000,Kernel Time,97.22,1194644.2,15.0,79642.94,78010.4,82932.0
512 10000,Kernel Time,97.11999999999999,1219685.6,15.0,81312.36,79520.6,83220.0
512 100000,Kernel Time,98.0,3563210.6,15.0,237547.36000000002,236392.2,240097.6
512 1000000,Kernel Time,97.8,28709420.6,15.0,1913961.3800000001,1909054.6,1920804.8
512 500,Kernel Time,97.05999999999999,1188994.8,15.0,79266.32,77287.4,83239.8
512 5000,Kernel Time,97.24,1206322.6,15.0,80421.52,78977.0,83111.2
512 50000,Kernel Time,98.16,2405739.0,15.0,160382.6,156532.2,163297.2
512 500000,Kernel Time,97.7,14956368.2,15.0,997091.2,993759.4,1001599.4
64 100,Kernel Time,96.17999999999999,530271.8,15.0,35351.46,35123.4,37466.2
64 1000,Kernel Time,93.96000000000001,532881.8,15.0,35525.44,35104.0,37465.8
64 10000,Kernel Time,94.44,609836.4,15.0,40655.759999999995,39974.6,42048.4
64 100000,Kernel Time,97.32000000000001,2666295.8,15.0,177753.03999999998,176628.2,179246.0
64 1000000,Kernel Time,97.44,25273447.6,15.0,1684896.52,1679325.2,1700214.8
64 500,Kernel Time,93.82000000000001,531391.8,15.0,35426.12,35008.4,37472.4
64 5000,Kernel Time,93.92,536824.2,15.0,35788.26,35373.0,38016.2
64 50000,Kernel Time,96.88,1372651.6,15.0,91510.1,90221.2,96089.8
64 500000,Kernel Time,97.34,12750837.6,15.0,850055.8400000001,847044.8,857432.0
8 100,Kernel Time,96.0,521568.6,15.0,34771.240000000005,34566.6,36583.4
8 1000,Kernel Time,93.92,528129.8,15.0,35208.64,34989.2,36999.0
8 10000,Kernel Time,97.05999999999999,1171500.8,15.0,78100.04000000001,77594.6,79258.4
8 100000,Kernel Time,99.3,10461788.2,15.0,697452.54,693873.2,701502.4
8 1000000,Kernel Time,99.38000000000001,110095639.2,15.0,7339709.279999999,6683904.2,9523453.4
8 500,Kernel Time,93.62,522131.6,15.0,34808.759999999995,34496.6,36634.2
8 5000,Kernel Time,95.8,804258.4,15.0,53617.240000000005,53344.8,54547.8
8 50000,Kernel Time,99.2,5381428.4,15.0,358761.92000000004,353468.2,361628.2
8 500000,Kernel Time,99.3,52218417.8,15.0,3481227.84,3359846.4,4376902.4
