number_particles,run_time(ns)
100,1994636
500,6818479
1000,9215315
5000,47593520
10000,91080308
50000,461447214
100000,918363465
500000,4501489239
1000000,9007064540
100,1445144
500,6958328
1000,12178152
5000,49507804
10000,98026204
50000,451520532
100000,924953954
500000,4581511690
1000000,8995403158
100,1451573
500,4358192
1000,10541978
5000,49280474
10000,92903820
50000,444829559
100000,903900538
500000,4519234767
1000000,9058031449
100,954123
500,6990738
1000,12640555
5000,48586341
10000,90537163
50000,451270233
100000,905369733
500000,4508219314
1000000,9101483989
100,1341004
500,4508892
1000,10781118
5000,47047336
10000,91736226
50000,448018139
100000,899815180
500000,4494847977
1000000,9011393265
10000000,93101124024
10000000,94128159993
10000000,92831909487
10000000,92245589816
10000000,92733584761
