block_size,num_particles,run_time(ns)
1.0,100.0,959561770.0
1.0,500.0,135701134.2
1.0,1000.0,144717618.8
1.0,5000.0,165300528.0
1.0,10000.0,178232078.2
1.0,50000.0,330740227.4
1.0,100000.0,532004526.8
1.0,500000.0,2295274615.0
1.0,1000000.0,4500393896.4
2.0,100.0,131515198.6
2.0,500.0,133126900.4
2.0,1000.0,136357472.2
2.0,5000.0,158934877.0
2.0,10000.0,180567422.6
2.0,50000.0,309938139.0
2.0,100000.0,480824367.6
2.0,500000.0,2128507185.2
2.0,1000000.0,4121838479.0
4.0,100.0,138278306.8
4.0,500.0,130464605.0
4.0,1000.0,142248421.6
4.0,5000.0,158995968.4
4.0,10000.0,173383770.0
4.0,50000.0,315303902.2
4.0,100000.0,470235059.0
4.0,500000.0,2016887131.4
4.0,1000000.0,3928402590.2
8.0,100.0,137363884.6
8.0,500.0,132997078.0
8.0,1000.0,135842057.4
8.0,5000.0,160798277.2
8.0,10000.0,177573491.0
8.0,50000.0,298584355.6
8.0,100000.0,465602406.4
8.0,500000.0,1959926269.8
8.0,1000000.0,3827047828.6
16.0,100.0,133579077.6
16.0,500.0,133973111.2
16.0,1000.0,134201184.4
16.0,5000.0,155702641.8
16.0,10000.0,168012884.6
16.0,50000.0,298849578.8
16.0,100000.0,461068925.8
16.0,500000.0,1932891145.4
16.0,1000000.0,3769585695.8
32.0,100.0,133820397.4
32.0,500.0,128397047.0
32.0,1000.0,134298909.2
32.0,5000.0,160819455.4
32.0,10000.0,173279825.0
32.0,50000.0,300907735.0
32.0,100000.0,455553903.6
32.0,500000.0,1929815848.4
32.0,1000000.0,3751110949.8
64.0,100.0,132057092.6
64.0,500.0,132888518.4
64.0,1000.0,135727980.4
64.0,5000.0,155024941.8
64.0,10000.0,176526998.4
64.0,50000.0,312046024.4
64.0,100000.0,460911269.0
64.0,500000.0,1918331504.6
64.0,1000000.0,3752332273.2
128.0,100.0,133603487.2
128.0,500.0,132023476.2
128.0,1000.0,137407137.4
128.0,5000.0,153932549.4
128.0,10000.0,171522488.8
128.0,50000.0,299108077.6
128.0,100000.0,462274626.4
128.0,500000.0,1923186114.2
128.0,1000000.0,3753374548.2
256.0,100.0,127889280.0
256.0,500.0,133459500.6
256.0,1000.0,134460966.4
256.0,5000.0,157986996.6
256.0,10000.0,168077799.2
256.0,50000.0,290439650.4
256.0,100000.0,457628692.0
256.0,500000.0,1911341698.2
256.0,1000000.0,3758526606.4
512.0,100.0,130173414.6
512.0,500.0,135006097.8
512.0,1000.0,138778600.6
512.0,5000.0,156063136.0
512.0,10000.0,183733354.4
512.0,50000.0,301208143.0
512.0,100000.0,462256780.4
512.0,500000.0,1914924777.0
512.0,1000000.0,3910585703.6
